origin,destination,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
DK,HU,null,null,null,null,null,2,2,4,4,5,5,6,5,4,4,2
DK,IT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,4
DK,LT,null ,null ,null ,null ,null ,null ,0,null ,null ,0,0,null ,0,null,0,0
DK,LU,0,0,0,0,0,0,0,0,0,0,null ,0,0,null ,1,1
DK,NL,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null 
DK,PL,0,0,null ,0,0,null ,0,1,1,1,2,2,2,1,2,2
DK,RO,0,null ,null ,null ,null ,null ,null ,null ,null ,6,null ,null ,0,0,0,0
DK,SE,5995,5348,5801,5731,6092,5890,5885,5662,5381,5241,5588,5447,5007,4112,3625,3476
DK,SI,0,0,null ,0,0,0,null ,0,0,1,0,0,0,0,1,0
DK,SK,0,0,0,0,0,0,null ,0,0,0,0,0,0,2,2,2
DK,TR,null ,null ,null ,0,5,4,4,5,6,5,7,7,4,3,2,2
EE,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null
EE,CZ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
EE,LV,7,5,7,5,6,7,7,7,6,6,5,3,null ,null ,null ,null 
EE,PL,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
EE,RO,null ,null ,null ,null ,null ,null ,null ,null ,null ,4,null ,null ,0,0,0,0
EL,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,null,null,null
EL,BG,null,null,null,5,6,3,1,1,15,58,67,66,37,null,null ,null 
EL,CZ,null ,0,0,0,0,0,null ,null ,null ,1,1,1,0,0,null ,0
EL,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,1,2,0,2,1
EL,FR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
EL,HR,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0,0,0,0
EL,HU,null,null,null,null,null,0,0,1,0,1,2,2,2,3,3,3
EL,IT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null 
EL,MK,1,0,0,0,0,0,null ,0,0,2,1,null ,null ,null ,null ,null 
EL,PL,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,0,0,0,0
EL,RO,0,0,0,0,null ,null ,null ,null ,null ,4,4,10,4,6,3,5
EL,SI,null ,0,null ,null ,0,null ,0,0,0,0,0,0,0,0,0,0
EL,SK,null ,0,0,0,0,0,null ,null ,0,0,0,1,0,0,0,0
EL,TR,null ,null ,0,0,0,0,0,0,1,9,11,17,16,14,11,5
ES,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,null,null,null
ES,BE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,1,1,0,null ,null 
ES,BG,null,null,null,2,11,24,21,18,23,17,24,15,1,null,null ,null 
ES,CZ,null ,0,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
ES,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,1,0,0,1,1
ES,FR,null,null,null,null,null,null,null,null,null,null,241,263,282,299,328,103
ES,HR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,0
ES,HU,null,null,null,null,null,5,5,7,7,7,9,9,9,9,7,3
ES,IT,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,null,20,27,28,30
ES,LU,0,0,0,0,0,0,0,0,0,0,null ,0,null ,null ,null ,null 
ES,PL,null ,null ,null ,null ,0,null ,null ,null ,null ,null ,null ,null ,0,null ,0,0
ES,PT,85,85,128,120,115,78,67,64,59,61,63,76,103,85,88,192
ES,RO,null ,null ,null ,null ,null ,null ,null ,null ,null ,12,0,1,1,1,0,0
ES,SI,0,0,0,0,0,1,null ,1,1,0,0,0,0,0,0,0
ES,SK,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,3,2,2
ES,TR,null ,null ,null ,0,10,8,8,8,11,12,13,18,12,null ,5,2
FI,AT,null ,null ,null ,null ,null ,null ,null ,null ,null ,null,null,null,null,null,null,null
FI,BG,null,null,null,4,5,10,10,11,11,12,12,9,6,null,null ,null 
FI,CZ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0,null ,null ,null ,null ,null ,0
FI,DE,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,2,0,0,0,2
FI,FR,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,null ,0
FI,HR,null ,null ,null ,null ,0,0,0,0,0,0,0,0,0,0,0,0
FI,HU,null,null,null,null,null,2,3,4,3,4,5,4,3,3,0,2
FI,LT,null ,null ,null ,null ,null ,null ,null ,null ,0,0,0,null ,null ,null,0,0
FI,PL,null ,null ,null ,null ,0,0,0,0,0,0,0,1,0,1,1,1
FI,RO,null ,null ,null ,null ,0,0,0,0,1,6,null ,null ,0,0,0,0
FI,SI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
